"","Day","number.scan.PT","number.scan.RST","number.scan.RBM"
"289",289,21,20,21
"290",290,0,0,0
"291",291,0,0,0
"292",292,21,21,18
"293",293,0,0,0
"294",294,21,0,20
"295",295,20,21,21
"296",296,20,21,21
"297",297,16,20,0
"298",298,0,0,0
"299",299,21,18,21
"300",300,21,21,21
"301",301,0,20,13
"302",302,20,0,25
"303",303,21,21,20
"304",304,0,0,0
"305",305,0,0,0
"306",306,0,0,0
"307",307,20,21,19
"308",308,21,21,0
"309",309,0,21,21
"310",310,20,19,21
"311",311,0,0,0
"312",312,0,0,0
"313",313,21,21,21
"314",314,21,21,20
"315",315,20,17,17
"316",316,19,0,21
"317",317,21,20,20
"318",318,0,0,0
"319",319,0,0,0
"320",320,17,20,21
"321",321,0,20,0
"322",322,21,0,21
"323",323,0,21,20
"324",324,19,20,21
"325",325,0,0,0
"326",326,0,0,0
"327",327,20,20,0
"328",328,0,21,21
"329",329,21,0,21
"330",330,0,21,0
"331",331,21,0,20
"332",332,0,0,0
"333",333,0,0,0
"334",334,21,0,21
"335",335,0,21,0
"336",336,21,20,20
"337",337,0,21,18
"338",338,20,21,20
"339",339,0,0,0
"340",340,0,0,0
"341",341,0,21,19
"342",342,20,21,0
"343",343,21,0,20
"344",344,0,21,0
"345",345,21,21,21
"346",346,0,0,0
"347",347,0,0,0
"348",348,0,20,20
"349",349,16,20,0
"350",350,21,0,20
"351",351,0,21,0
"352",352,21,21,19
"353",353,0,0,0
"354",354,0,0,0
"355",355,0,21,18
"356",356,21,21,0
"357",357,19,0,21
"358",358,0,0,0
"359",359,0,0,0
"360",360,0,0,0
"361",361,0,0,0
"362",362,20,0,20
"363",363,20,21,0
"364",364,0,16,15
"365",365,0,0,0
"366",366,0,0,0
"367",367,0,0,0
"368",368,0,0,0
"369",369,0,21,21
"370",370,21,21,0
"371",371,21,0,21
"372",372,0,21,0
"373",373,21,0,20
"374",374,0,0,0
"375",375,0,0,0
"376",376,21,21,20
"377",377,14,0,20
"378",378,7,20,21
"379",379,21,20,20
"380",380,18,18,0
"381",381,0,0,0
"382",382,0,0,0
"383",383,21,20,20
"384",384,20,21,0
"385",385,20,0,20
"386",386,0,20,0
"387",387,19,8,18
"388",388,0,0,0
"389",389,0,0,0
"390",390,0,21,4
"391",391,21,0,21
"392",392,0,21,20
"393",393,21,21,0
"394",394,21,21,21
"395",395,0,0,0
"396",396,0,0,0
"397",397,21,21,21
"398",398,20,20,21
"399",399,0,0,0
"400",400,0,0,0
"401",401,13,21,21
"402",402,21,20,21
"403",403,0,0,0
"404",404,0,21,20
"405",405,21,21,17
"406",406,20,20,21
"407",407,20,0,21
"408",408,21,21,21
"409",409,0,0,0
"410",410,0,0,0
"411",411,21,21,19
"412",412,21,21,21
"413",413,0,21,21
"414",414,21,21,0
"415",415,21,21,19
"416",416,0,0,0
"417",417,0,0,0
"418",418,21,20,21
"419",419,21,0,21
"420",420,0,19,19
"421",421,19,20,0
"422",422,16,16,15
"423",423,0,0,0
"424",424,0,0,0
"425",425,21,0,20
"426",426,0,19,19
"427",427,11,21,0
"428",428,21,16,20
"429",429,11,20,0
"430",430,0,0,0
"431",431,0,0,0
"432",432,13,0,14
"433",433,21,20,0
"434",434,0,21,10
"435",435,14,6,17
"436",436,0,19,10
"437",437,0,0,0
"438",438,0,18,0
"439",439,21,0,21
"440",440,0,18,19
"441",441,0,0,0
"442",442,0,0,0
"443",443,0,0,0
"444",444,0,0,0
"445",445,0,0,0
"446",446,17,0,21
"447",447,0,21,19
"448",448,21,5,20
"449",449,0,20,10
